itemid,property,value
100001,brand,brand_32
100002,brand,brand_42
100003,brand,brand_20
100004,brand,brand_6
100005,brand,brand_20
100006,brand,brand_39
100007,brand,brand_18
100008,brand,brand_33
100009,brand,brand_12
100010,brand,brand_29
100011,brand,brand_3
100012,brand,brand_46
100013,brand,brand_38
100014,brand,brand_48
100015,brand,brand_49
100016,brand,brand_14
100017,brand,brand_27
100018,brand,brand_5
100019,brand,brand_35
100020,brand,brand_15
100021,brand,brand_13
100022,brand,brand_3
100023,brand,brand_27
100024,brand,brand_23
100025,brand,brand_36
100026,brand,brand_47
100027,brand,brand_29
100028,brand,brand_13
100029,brand,brand_31
100030,brand,brand_33
100031,brand,brand_19
100032,brand,brand_8
100033,brand,brand_18
100034,brand,brand_42
100035,brand,brand_39
100036,brand,brand_45
100037,brand,brand_36
100038,brand,brand_4
100039,brand,brand_39
100040,brand,brand_43
100041,brand,brand_25
100042,brand,brand_37
100043,brand,brand_29
100044,brand,brand_35
100045,brand,brand_48
100046,brand,brand_26
100047,brand,brand_25
100048,brand,brand_43
100049,brand,brand_17
100050,brand,brand_45
100051,brand,brand_34
100052,brand,brand_4
100053,brand,brand_15
100054,brand,brand_14
100055,brand,brand_13
100056,brand,brand_50
100057,brand,brand_50
100058,brand,brand_17
100059,brand,brand_39
100060,brand,brand_17
100061,brand,brand_39
100062,brand,brand_44
100063,brand,brand_40
100064,brand,brand_45
100065,brand,brand_4
100066,brand,brand_23
100067,brand,brand_24
100068,brand,brand_22
100069,brand,brand_27
100070,brand,brand_20
100071,brand,brand_30
100072,brand,brand_38
100073,brand,brand_25
100074,brand,brand_50
100075,brand,brand_24
100076,brand,brand_48
100077,brand,brand_21
100078,brand,brand_41
100079,brand,brand_17
100080,brand,brand_22
100081,brand,brand_6
100082,brand,brand_36
100083,brand,brand_30
100084,brand,brand_26
100085,brand,brand_35
100086,brand,brand_48
100087,brand,brand_24
100088,brand,brand_39
100089,brand,brand_47
100090,brand,brand_4
100091,brand,brand_32
100092,brand,brand_3
100093,brand,brand_19
100094,brand,brand_26
100095,brand,brand_11
100096,brand,brand_30
100097,brand,brand_18
100098,brand,brand_13
100099,brand,brand_30
100100,brand,brand_39
100101,brand,brand_13
100102,brand,brand_5
100103,brand,brand_42
100104,brand,brand_47
100105,brand,brand_20
100106,brand,brand_8
100107,brand,brand_18
100108,brand,brand_44
100109,brand,brand_38
100110,brand,brand_12
100111,brand,brand_24
100112,brand,brand_25
100113,brand,brand_45
100114,brand,brand_50
100115,brand,brand_42
100116,brand,brand_26
100117,brand,brand_4
100118,brand,brand_34
100119,brand,brand_18
100120,brand,brand_50
100121,brand,brand_43
100122,brand,brand_34
100123,brand,brand_23
100124,brand,brand_24
100125,brand,brand_26
100126,brand,brand_12
100127,brand,brand_37
100128,brand,brand_29
100129,brand,brand_27
100130,brand,brand_16
100131,brand,brand_32
100132,brand,brand_50
100133,brand,brand_50
100134,brand,brand_41
100135,brand,brand_13
100136,brand,brand_12
100137,brand,brand_34
100138,brand,brand_41
100139,brand,brand_9
100140,brand,brand_50
100141,brand,brand_8
100142,brand,brand_1
100143,brand,brand_33
100144,brand,brand_46
100145,brand,brand_28
100146,brand,brand_26
100147,brand,brand_20
100148,brand,brand_28
100149,brand,brand_19
100150,brand,brand_7
100151,brand,brand_12
100152,brand,brand_6
100153,brand,brand_38
100154,brand,brand_11
100155,brand,brand_16
100156,brand,brand_11
100157,brand,brand_31
100158,brand,brand_20
100159,brand,brand_39
100160,brand,brand_50
100161,brand,brand_8
100162,brand,brand_23
100163,brand,brand_17
100164,brand,brand_50
100165,brand,brand_25
100166,brand,brand_27
100167,brand,brand_15
100168,brand,brand_30
100169,brand,brand_18
100170,brand,brand_5
100171,brand,brand_35
100172,brand,brand_34
100173,brand,brand_2
100174,brand,brand_42
100175,brand,brand_18
100176,brand,brand_37
100177,brand,brand_23
100178,brand,brand_37
100179,brand,brand_24
100180,brand,brand_48
100181,brand,brand_9
100182,brand,brand_11
100183,brand,brand_25
100184,brand,brand_46
100185,brand,brand_49
100186,brand,brand_24
100187,brand,brand_8
100188,brand,brand_8
100189,brand,brand_27
100190,brand,brand_36
100191,brand,brand_9
100192,brand,brand_21
100193,brand,brand_48
100194,brand,brand_5
100195,brand,brand_29
100196,brand,brand_25
100197,brand,brand_6
100198,brand,brand_35
100199,brand,brand_33
100200,brand,brand_40
100201,brand,brand_25
100202,brand,brand_45
100203,brand,brand_43
100204,brand,brand_30
100205,brand,brand_17
100206,brand,brand_6
100207,brand,brand_13
100208,brand,brand_41
100209,brand,brand_26
100210,brand,brand_46
100211,brand,brand_2
100212,brand,brand_26
100213,brand,brand_14
100214,brand,brand_25
100215,brand,brand_10
100216,brand,brand_34
100217,brand,brand_41
100218,brand,brand_10
100219,brand,brand_21
100220,brand,brand_38
100221,brand,brand_25
100222,brand,brand_41
100223,brand,brand_17
100224,brand,brand_29
100225,brand,brand_25
100226,brand,brand_50
100227,brand,brand_30
100228,brand,brand_26
100229,brand,brand_39
100230,brand,brand_3
100231,brand,brand_34
100232,brand,brand_19
100233,brand,brand_30
100234,brand,brand_17
100235,brand,brand_37
100236,brand,brand_8
100237,brand,brand_39
100238,brand,brand_5
100239,brand,brand_23
100240,brand,brand_36
100241,brand,brand_14
100242,brand,brand_47
100243,brand,brand_45
100244,brand,brand_50
100245,brand,brand_9
100246,brand,brand_48
100247,brand,brand_21
100248,brand,brand_33
100249,brand,brand_38
100250,brand,brand_36
100251,brand,brand_33
100252,brand,brand_28
100253,brand,brand_9
100254,brand,brand_29
100255,brand,brand_49
100256,brand,brand_25
100257,brand,brand_23
100258,brand,brand_24
100259,brand,brand_41
100260,brand,brand_27
100261,brand,brand_49
100262,brand,brand_6
100263,brand,brand_31
100264,brand,brand_29
100265,brand,brand_1
100266,brand,brand_25
100267,brand,brand_16
100268,brand,brand_35
100269,brand,brand_27
100270,brand,brand_4
100271,brand,brand_34
100272,brand,brand_46
100273,brand,brand_1
100274,brand,brand_4
100275,brand,brand_19
100276,brand,brand_28
100277,brand,brand_5
100278,brand,brand_21
100279,brand,brand_1
100280,brand,brand_32
100281,brand,brand_13
100282,brand,brand_9
100283,brand,brand_4
100284,brand,brand_23
100285,brand,brand_22
100286,brand,brand_31
100287,brand,brand_17
100288,brand,brand_36
100289,brand,brand_37
100290,brand,brand_37
100291,brand,brand_21
100292,brand,brand_28
100293,brand,brand_31
100294,brand,brand_33
100295,brand,brand_14
100296,brand,brand_31
100297,brand,brand_11
100298,brand,brand_31
100299,brand,brand_42
100300,brand,brand_43
100301,brand,brand_20
100302,brand,brand_22
100303,brand,brand_6
100304,brand,brand_36
100305,brand,brand_43
100306,brand,brand_48
100307,brand,brand_25
100308,brand,brand_46
100309,brand,brand_42
100310,brand,brand_27
100311,brand,brand_28
100312,brand,brand_4
100313,brand,brand_4
100314,brand,brand_44
100315,brand,brand_10
100316,brand,brand_35
100317,brand,brand_32
100318,brand,brand_47
100319,brand,brand_21
100320,brand,brand_34
100321,brand,brand_3
100322,brand,brand_39
100323,brand,brand_11
100324,brand,brand_21
100325,brand,brand_49
100326,brand,brand_9
100327,brand,brand_26
100328,brand,brand_10
100329,brand,brand_43
100330,brand,brand_50
100331,brand,brand_10
100332,brand,brand_24
100333,brand,brand_37
100334,brand,brand_50
100335,brand,brand_32
100336,brand,brand_8
100337,brand,brand_26
100338,brand,brand_22
100339,brand,brand_10
100340,brand,brand_2
100341,brand,brand_28
100342,brand,brand_35
100343,brand,brand_34
100344,brand,brand_46
100345,brand,brand_17
100346,brand,brand_30
100347,brand,brand_12
100348,brand,brand_17
100349,brand,brand_42
100350,brand,brand_37
100351,brand,brand_32
100352,brand,brand_15
100353,brand,brand_47
100354,brand,brand_27
100355,brand,brand_23
100356,brand,brand_15
100357,brand,brand_41
100358,brand,brand_50
100359,brand,brand_41
100360,brand,brand_5
100361,brand,brand_30
100362,brand,brand_12
100363,brand,brand_10
100364,brand,brand_39
100365,brand,brand_7
100366,brand,brand_2
100367,brand,brand_6
100368,brand,brand_23
100369,brand,brand_48
100370,brand,brand_26
100371,brand,brand_46
100372,brand,brand_40
100373,brand,brand_6
100374,brand,brand_36
100375,brand,brand_45
100376,brand,brand_20
100377,brand,brand_27
100378,brand,brand_2
100379,brand,brand_24
100380,brand,brand_11
100381,brand,brand_22
100382,brand,brand_49
100383,brand,brand_7
100384,brand,brand_9
100385,brand,brand_37
100386,brand,brand_16
100387,brand,brand_41
100388,brand,brand_19
100389,brand,brand_6
100390,brand,brand_21
100391,brand,brand_7
100392,brand,brand_2
100393,brand,brand_19
100394,brand,brand_22
100395,brand,brand_5
100396,brand,brand_38
100397,brand,brand_40
100398,brand,brand_48
100399,brand,brand_19
100400,brand,brand_44
100401,brand,brand_18
100402,brand,brand_47
100403,brand,brand_3
100404,brand,brand_31
100405,brand,brand_43
100406,brand,brand_30
100407,brand,brand_48
100408,brand,brand_7
100409,brand,brand_45
100410,brand,brand_24
100411,brand,brand_45
100412,brand,brand_36
100413,brand,brand_18
100414,brand,brand_41
100415,brand,brand_50
100416,brand,brand_35
100417,brand,brand_36
100418,brand,brand_48
100419,brand,brand_8
100420,brand,brand_3
100421,brand,brand_30
100422,brand,brand_37
100423,brand,brand_5
100424,brand,brand_16
100425,brand,brand_2
100426,brand,brand_48
100427,brand,brand_16
100428,brand,brand_50
100429,brand,brand_11
100430,brand,brand_11
100431,brand,brand_16
100432,brand,brand_22
100433,brand,brand_26
100434,brand,brand_30
100435,brand,brand_34
100436,brand,brand_6
100437,brand,brand_20
100438,brand,brand_16
100439,brand,brand_33
100440,brand,brand_44
100441,brand,brand_29
100442,brand,brand_11
100443,brand,brand_36
100444,brand,brand_37
100445,brand,brand_18
100446,brand,brand_27
100447,brand,brand_39
100448,brand,brand_46
100449,brand,brand_6
100450,brand,brand_16
100451,brand,brand_4
100452,brand,brand_37
100453,brand,brand_26
100454,brand,brand_49
100455,brand,brand_5
100456,brand,brand_46
100457,brand,brand_20
100458,brand,brand_2
100459,brand,brand_31
100460,brand,brand_2
100461,brand,brand_7
100462,brand,brand_13
100463,brand,brand_31
100464,brand,brand_46
100465,brand,brand_31
100466,brand,brand_16
100467,brand,brand_27
100468,brand,brand_24
100469,brand,brand_5
100470,brand,brand_6
100471,brand,brand_36
100472,brand,brand_15
100473,brand,brand_27
100474,brand,brand_13
100475,brand,brand_26
100476,brand,brand_25
100477,brand,brand_28
100478,brand,brand_42
100479,brand,brand_5
